,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Promo2SinceDate,CompetitionOpenSinceDate,avg_cust_visit_per_day,avg_sales_per_day,avg_sales_per_customer
102,103,d,Extended,5210.0,5,2015,0,0,0,0,0,2015-05-01 00:00:00,421.6164817749604,4689.497622820919,11.122662005713426
103,104,a,Basic,390.0,6,2009,0,0,0,0,0,2009-06-01 00:00:00,1312.3775510204082,10126.536989795919,7.716176630667196
104,105,a,Extended,6190.0,0,0,1,23,2013,"Mar,Jun,Sept,Dec",2013-06-10 00:00:00,0,515.0490716180371,4441.3673740053055,8.623192660172474
105,106,a,Basic,1390.0,8,2013,0,0,0,0,0,2013-08-01 00:00:00,825.6477419354839,8668.81935483871,10.499416294069016
106,107,a,Basic,1930.0,9,2009,0,0,0,0,0,2009-09-01 00:00:00,955.3112244897959,7336.589285714285,7.679789682815195
107,108,d,Extended,2190.0,9,2003,0,0,0,0,0,2003-09-01 00:00:00,848.7813504823151,11035.360128617363,13.001416822302449
108,109,a,Extended,3300.0,11,2010,0,0,0,0,0,2010-11-01 00:00:00,742.3762755102041,6464.323979591837,8.707611211240794
109,110,a,Extended,46590.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,587.4387755102041,4534.429846938776,7.718982872726642
110,111,d,Extended,7890.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,0,597.6747759282971,6771.745198463508,11.330150562144373
111,112,a,Basic,1630.0,9,2009,0,0,0,0,0,2009-09-01 00:00:00,775.9936224489796,6229.448979591837,8.02770641327199
112,113,d,Extended,20930.0,11,1999,0,0,0,0,0,1999-11-01 00:00:00,699.3135048231511,7199.077170418006,10.294491842022378
113,114,c,Basic,4510.0,0,0,1,48,2011,"Mar,Jun,Sept,Dec",2011-11-28 00:00:00,0,608.125,5346.559948979592,8.791876586194602
114,115,d,Extended,5740.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2007-04-01 00:00:00,552.0450160771704,7371.689710610933,13.353421362254348
115,116,a,Basic,680.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,758.2477650063857,7294.54533844189,9.620266191461122
116,117,a,Basic,3450.0,9,2011,0,0,0,0,0,2011-09-01 00:00:00,492.06546854942235,3881.956354300385,7.889105418724352
117,118,d,Extended,3580.0,9,2012,0,0,0,0,0,2012-09-01 00:00:00,675.5460358056266,7781.606138107417,11.518987198004076
118,119,a,Extended,2100.0,2,2010,0,0,0,0,0,2010-02-01 00:00:00,664.9642857142857,6005.085459183673,9.030688697413549
119,120,d,Basic,2290.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2014-12-01 00:00:00,638.1959026888604,7110.102432778489,11.140940270569045
120,121,a,Basic,3570.0,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,2009-11-01 00:00:00,504.1128205128205,4453.171794871795,8.833680901711054
121,122,a,Extended,58260.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,793.780790960452,6462.014689265537,8.140805072199699
122,123,a,Basic,16760.0,9,2011,0,0,0,0,0,2011-09-01 00:00:00,959.77734375,8399.204427083334,8.75120097570373
123,124,a,Basic,1410.0,4,2003,0,0,0,0,0,2003-04-01 00:00:00,525.6829268292682,4424.1463414634145,8.415997772931844
124,125,a,Basic,760.0,12,2005,0,0,0,0,0,2005-12-01 00:00:00,1573.9413265306123,11836.848214285714,7.520514275063412
125,126,d,Basic,3370.0,10,2014,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,2014-10-01 00:00:00,543.8125802310655,6507.75353016688,11.966905082265184
126,127,d,Basic,1350.0,12,2005,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2005-12-01 00:00:00,659.7479935794543,5238.154093097914,7.939628682579808
127,128,d,Extended,2000.0,0,0,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,0,594.6824583866837,7454.672215108835,12.53555088094013
128,129,a,Basic,2460.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,0,1165.4630225080386,9208.120578778135,7.900826024460697
129,130,c,Basic,900.0,0,0,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,0,573.7451984635084,5121.062740076824,8.925674243185037
130,131,c,Basic,920.0,7,2015,0,0,0,0,0,2015-07-01 00:00:00,558.8973042362003,5275.404364569961,9.43895117150266
131,132,d,Extended,1040.0,0,0,1,27,2012,"Jan,Apr,Jul,Oct",2012-07-02 00:00:00,0,582.4051446945338,6283.255627009647,10.78846175080606
132,133,a,Basic,270.0,8,2013,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2013-08-01 00:00:00,758.8273657289003,6467.759590792839,8.52336102109359
133,134,a,Basic,1200.0,9,2008,0,0,0,0,0,2008-09-01 00:00:00,494.5969387755102,4725.8915816326535,9.555036052856893
134,135,d,Basic,5190.0,0,0,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,0,539.7810499359795,5952.416133162612,11.027464068752684
135,136,a,Extended,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov",2012-05-28 00:00:00,2010-12-01 00:00:00,423.98070739549837,5488.818327974276,12.945915302825767
136,137,a,Basic,1730.0,7,2015,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2015-07-01 00:00:00,957.2813504823151,8274.98231511254,8.6442531351345
137,138,a,Extended,25360.0,10,2014,0,0,0,0,0,2014-10-01 00:00:00,714.4435897435898,7334.917948717949,10.266615942835198
138,139,a,Basic,1700.0,1,2008,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2008-01-01 00:00:00,513.8151125401929,6464.1495176848875,12.580691692246075
139,140,a,Extended,1090.0,7,2010,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,2010-07-01 00:00:00,963.6120358514725,7469.049935979513,7.751096559705865
140,141,c,Extended,1540.0,0,0,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,0,611.8983268983269,5540.741312741313,9.055003207521375
141,142,a,Basic,1090.0,7,2002,0,0,0,0,0,2002-07-01 00:00:00,568.7355584082156,4603.965340179718,8.095089663578193
142,143,d,Basic,2930.0,12,2002,0,0,0,0,0,2002-12-01 00:00:00,582.0423620025674,6314.756097560976,10.849306699661014
143,144,a,Extended,16570.0,0,0,0,0,0,0,0,0,728.8896,7718.2064,10.588992352202583
144,145,a,Basic,280.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,1267.7861842105262,8342.263157894737,6.580181470497423
145,146,d,Extended,8050.0,10,1961,1,48,2012,"Jan,Apr,Jul,Oct",2012-11-26 00:00:00,1961-10-01 00:00:00,702.4223363286264,7812.83055198973,11.122696628392122
146,147,d,Extended,8540.0,0,0,0,0,0,0,0,0,879.6161745827984,8212.558408215662,9.336525004341667
147,148,a,Basic,2090.0,12,2008,0,0,0,0,0,2008-12-01 00:00:00,819.4770408163265,8638.96556122449,10.542047099475463
148,149,d,Basic,2610.0,7,2006,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2006-07-01 00:00:00,486.21864951768487,5567.483922829582,11.450576666181703
149,150,c,Extended,31830.0,3,2010,0,0,0,0,0,2010-03-01 00:00:00,820.3966836734694,8417.24107142857,10.259964769407532
150,151,d,Extended,4360.0,10,2005,0,0,0,0,0,2005-10-01 00:00:00,652.0076923076923,6755.764102564102,10.361479139384072
151,152,a,Basic,1780.0,0,0,0,0,0,0,0,0,621.403080872914,5541.939666238768,8.918429658336658
152,153,a,Basic,16240.0,10,2000,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,2000-10-01 00:00:00,633.8793324775353,7066.812580231065,11.148513949193182
153,154,d,Extended,16420.0,0,0,0,0,0,0,0,0,737.4302176696543,8737.57362355954,11.848678578931924
154,155,d,Basic,3050.0,0,0,1,35,2010,"Jan,Apr,Jul,Oct",2010-08-30 00:00:00,0,660.3081861958267,6886.852327447833,10.429754577365498
155,156,a,Basic,2020.0,2,2011,1,14,2011,"Mar,Jun,Sept,Dec",2011-04-04 00:00:00,2011-02-01 00:00:00,712.6202046035805,6961.611253196931,9.769034344275386
156,157,a,Extended,2950.0,10,2004,0,0,0,0,0,2004-10-01 00:00:00,989.8305519897305,9722.790757381257,9.82268201141778
157,158,d,Extended,11840.0,0,0,1,31,2009,"Feb,May,Aug,Nov",2009-08-03 00:00:00,0,519.9845956354301,8156.865211810013,15.686743954101532
158,159,d,Basic,8530.0,3,2013,0,0,0,0,0,2013-03-01 00:00:00,695.9727126805778,7748.60834670947,11.133494468289241
159,160,d,Extended,17110.0,11,2005,0,0,0,0,0,2005-11-01 00:00:00,559.1843790012804,5730.658130601792,10.248244310466818
160,161,a,Extended,2970.0,3,2005,0,0,0,0,0,2005-03-01 00:00:00,819.2182284980745,7252.598202824133,8.85307229566997
161,162,d,Extended,5340.0,3,2012,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2012-03-01 00:00:00,555.6952624839948,7768.131882202305,13.979122023603797
162,163,a,Basic,1480.0,4,2009,0,0,0,0,0,2009-04-01 00:00:00,870.8048469387755,7298.706632653061,8.381564087879058
163,164,a,Basic,1160.0,9,2005,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2005-09-01 00:00:00,633.4333868378812,6210.218298555377,9.804059002252748
164,165,a,Basic,3720.0,4,2005,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2005-04-01 00:00:00,422.65434083601286,3996.8344051446948,9.456508591013005
165,166,a,Extended,100.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,2014-04-01 00:00:00,817.2682926829268,5819.24646983312,7.120362458611613
166,167,a,Basic,140.0,4,2008,0,0,0,0,0,2008-04-01 00:00:00,1055.1846153846154,9295.779487179487,8.80962378682063
167,168,a,Basic,12540.0,0,0,0,0,0,0,0,0,731.2445302445302,7517.148005148005,10.27993741386927
168,169,d,Basic,980.0,7,2014,1,18,2014,"Feb,May,Aug,Nov",2014-05-05 00:00:00,2014-07-01 00:00:00,687.9164490861618,7218.92819843342,10.49390257788304
169,170,a,Basic,1070.0,5,2015,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2015-05-01 00:00:00,543.7625160462131,5009.441591784339,9.212554091092587
170,171,a,Basic,2640.0,0,0,0,0,0,0,0,0,867.2451861360719,8429.147625160462,9.71945161519515
171,172,a,Basic,110.0,0,0,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,0,868.9019292604502,6981.672025723473,8.035051817258358
172,173,a,Basic,350.0,12,2012,0,0,0,0,0,2012-12-01 00:00:00,1006.5369897959183,8232.783163265307,8.179315064153336
173,174,a,Basic,13090.0,0,0,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,0,479.5225080385852,5936.540192926045,12.38010748902814
174,175,c,Basic,4130.0,0,0,0,0,0,0,0,0,690.7079081632653,5784.548469387755,8.374811408732906
175,176,a,Basic,3770.0,0,0,0,0,0,0,0,0,631.9987163029525,5278.177150192554,8.351563087135176
176,177,a,Basic,1250.0,2,2004,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2004-02-01 00:00:00,485.2769230769231,3994.096153846154,8.23055035982627
177,178,d,Basic,1710.0,0,0,0,0,0,0,0,0,923.5653846153846,10089.92564102564,10.924971646947935
